Event	ID	Name			Wwise Object Path	Notes
	1950078070	HauntedStinger			\Default Work Unit\Environment\HauntedStinger	
	3991942870	Music			\Default Work Unit\Environment\Music\Music	

State Group	ID	Name			Wwise Object Path	Notes
	1021618141	MusicState			\Music\MusicState	

State	ID	Name	State Group			Notes
	192579722	IcePuzzle	MusicState			
	733150682	IceCombat	MusicState			
	748895195	None	MusicState			
	1125500713	Intro	MusicState			
	2437783708	LightningOutOfPuzzle	MusicState			
	2990546425	LightningCombat	MusicState			
	3099519893	IceOutOfCombat	MusicState			
	3485352473	LightningPuzzle	MusicState			
	3604647259	MainMenu	MusicState			
	3822410396	FinalMusic	MusicState			
	4102602869	IceOutOfPuzzle	MusicState			
	4114645792	LightningOutOfCombat	MusicState			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	48044830	NewSynthIntro1	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewSynthIntro1_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceOutOfCombat\IceOutOfCombat\NewSynthIntro1		1730099
	77993868	FunIceThings	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewStems D54 Furious_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\FunIceThings		845492
	80407628	ForAddingToTheStingerBoneRattle	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\ForAddingToTheStingerBoneRattle_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\ForAddingToTheStingerBoneRattle		1411296
	100441485	ReverseSleigh	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\ReverseSleigh_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IcePuzzle\IcePuzzle\ReverseSleigh		78157
	106687536	LightningMelodyQM	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\LightningMelodyClean_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\LightningCombat\LightningCombat\LightningMelodyQM		858645
	132955210	MAIN Drum	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\ChoppyDrum_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\MAIN Drum		247893
	154445961	MAIN Drum	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\ExoticNoMidverb_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\LightningCombat\LightningCombat\MAIN Drum		1698242
	168009941	ZapPulse	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\LowLightningPulse_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\LightningCombat\LightningCombat\ZapPulse		525647
	190951527	Mid Treble Swaps	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewStems 23-808 Aristocrat Kit_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\Mid Treble Swaps		558115
	194713178	ForAddingToTheStinger	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\ForAddingToTheStinger_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\ForAddingToTheStinger		992348
	237657344	Synth Pads	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewStems 27-UVIWorkstation_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\LightningOutOfPuzzle\LightningOutOfPuzzle\Synth Pads		702969
	295244752	FinalMusic_4-Kontakt_7	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\FinalMusic_4-Kontakt_7_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\EndingMusic\FinalLoop\FinalMusic_4-Kontakt_7		2132556
	307697709	FunIceThings	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\PianoArp_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\FunIceThings		522307
	379038489	SleighBellLoop	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\SleighBellLoop_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IcePuzzle\IcePuzzle\SleighBellLoop		85686
	393202994	MAIN Drum	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NoMidSomeVerb_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IcePuzzle\IcePuzzle\MAIN Drum		2822885
	415398760	SynthyIceee	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewStems 26-UVIWorkstation_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IcePuzzle\IcePuzzle\SynthyIceee		1121156
	439784943	FunIceThings	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\FasterIceArp_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\FunIceThings		320076
	463869677	FinalMusic_2-Kontakt_7	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\FinalMusic_2-Kontakt_7_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\EndingMusic\FinalLoop\FinalMusic_2-Kontakt_7		1517736
	497445220	Synth Pads	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\LongTrippySynth_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceOutOfPuzzle\IceOutOfPuzzle\Synth Pads		569347
	514795800	MAIN Drum	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\Exotic_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\MAIN Drum		1669305
	522681793	Taiko	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewStems Taiko_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\Taiko		881612
