Event	ID	Name			Wwise Object Path	Notes
	427386941	RoomMus			\Default Work Unit\TestEvents\RoomMus	
	3991942870	Music			\Default Work Unit\Environment\Music\Music	

State Group	ID	Name			Wwise Object Path	Notes
	1021618141	MusicState			\Music\MusicState	

State	ID	Name	State Group			Notes
	192579722	IcePuzzle	MusicState			
	733150682	IceCombat	MusicState			
	748895195	None	MusicState			
	1125500713	Intro	MusicState			
	2437783708	LightningOutOfPuzzle	MusicState			
	2990546425	LightningCombat	MusicState			
	3099519893	IceOutOfCombat	MusicState			
	3485352473	LightningPuzzle	MusicState			
	3604647259	MainMenu	MusicState			
	4102602869	IceOutOfPuzzle	MusicState			
	4114645792	LightningOutOfCombat	MusicState			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	77993868	D54 Furious	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Windows\SFX\NewStems D54 Furious_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\D54 Furious		845492
	190951527	Mid Treble Swaps	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Windows\SFX\NewStems 23-808 Aristocrat Kit_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\Mid Treble Swaps		558115
	237657344	Synth Pads	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Windows\SFX\NewStems 27-UVIWorkstation_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceOutOfCombat\IceOutOfCombat\Synth Pads		702969
	242173308	Underground50S3	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Windows\SFX\Underground50S3_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\UndergroundBasic\Underground\Underground50S3		8467296
	262532940	MenuMusic_2-Kontakt_7	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Windows\SFX\MenuMusic_2-Kontakt_7_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\MainMenu\MenuLoop\MenuMusic_2-Kontakt_7		1533296
	415398760	Synths	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Windows\SFX\NewStems 26-UVIWorkstation_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IcePuzzle\IcePuzzle\Synths		1121156
	522681793	Taiko	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Windows\SFX\NewStems Taiko_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\Taiko		881612
	533533018	Hi Hats	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Windows\SFX\NewStems 24-Agile Shot Kit_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceOutOfPuzzle\IceOutOfPuzzle\Hi Hats		649723
	603966075	Synths	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Windows\SFX\NewStems 25-Group_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IcePuzzle\IcePuzzle\Synths		850464
	637839352	MenuMusic_1-Kontakt_7	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Windows\SFX\MenuMusic_1-Kontakt_7_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\MainMenu\MenuLoop\MenuMusic_1-Kontakt_7		1820144
